query;name;rubrics;address;phones;whatsapp_candidate;whatsapp_confirmed;email;website;socials;rating;review_count;lat;lon;id
автосервис;Real Service Mercedes, автосервис;Легковой автосервис, Ремонт бензиновых двигателей, Обслуживание автомобильных климатических систем, Ремонт инжекторов, Замена масла, Компьютерная диагностика автомобилей, Ремонт электронных систем авто, Ремонт АКПП, Ремонт ходовой части автомобиля, Запчасти для легковых автомобилей, Ремонт стартеров и генераторов, Ремонт дизельных двигателей;улица Минусинская, 17;+77777777743 +77779857777 +77776427777;+77777777743;;realservice001@gmail.com;;instagram:https://instagram.com/realservice;5;221;43.228749;76.935223;70000001094187683_76Efw11578G23H8301IGG0GGtupunk73G6G505A80A628A79wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A10133B4H1J4HHHGJ2GB252hh
автосервис;Геликон, автосервис;Легковой автосервис, Ремонт бензиновых двигателей, Ремонт ходовой части автомобиля, Замена масла, Компьютерная диагностика автомобилей, Запчасти для легковых автомобилей, Обслуживание автомобильных климатических систем, Ремонт стартеров и генераторов, Ремонт электронных систем авто, Автосигнализации, Ремонт инжекторов, Ремонт рулевых реек;улица Абиша Кекилбайулы, 171а;+77775040715;+77775040715;yes;;http://gelikon.kz;instagram:https://instagram.com/gelikon.almaty whatsapp:https://wa.me/77775040715 telegram:https://t.me/+77775040715;4.8;178;43.207329;76.889926;70000001066266006_76Efw11578G23H8301IGG0GGtupunk73G6G505A80A836911wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A1013387H2J4HHHGJ2GB252C7
автосервис;GT oil service, автосервис полного цикла №1;Легковой автосервис, Замена масла, Ремонт ходовой части автомобиля, Ремонт бензиновых двигателей, Компьютерная диагностика автомобилей, Обслуживание автомобильных климатических систем, Автохимия, Ремонт гибридных автомобилей;улица Тлендиева, 377а;+77787770753;+77022777571;yes;office@gtoilservice.kz;http://gtoilservice.kz http://tiktok.com/@gtoilservice.kz;instagram:https://instagram.com/gtoilservicekz whatsapp:https://wa.me/77022777571 whatsapp:https://wa.me/77055777967;4.9;2216;43.224489;76.881383;70000001019247787_76Efw11578G23H8301IGG0GGtupunk73G6G505A80AB34A89wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A1013338H3J4HHHGJ2GB252Be
автосервис;AutoPapa, автосервис;Легковой автосервис, Ремонт ходовой части автомобиля, Развал-схождение, Ремонт электронных систем авто, Замена масла, Компьютерная диагностика автомобилей, Ремонт инжекторов, Автохимия, Запчасти для легковых автомобилей, Обслуживание автомобильных климатических систем, Ремонт бензиновых двигателей, Шиномонтаж;улица Зеина Шашкина, 29;+77071110450;+77071110450;yes;info@avto-papa.kz;http://autopapa.kz;instagram:https://instagram.com/autopapakz whatsapp:https://wa.me/77071110450;5;44;43.219406;76.936448;70000001104927985_76Efw11578G23H8301IGG0GGtupunk73G6G505A80A6A2AA9wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A1013426H4J4HHHGJ2GB252g3
автосервис;EXPERT OIL SERVICE + UNITED OIL, №8, Сеть пунктов замены масел и автомагазинов;Легковой автосервис, Замена масла, Автохимия, Автомобильные аккумуляторы, Запчасти для легковых автомобилей, Компьютерная диагностика автомобилей, Обслуживание автомобильных климатических систем;улица Рыскулбекова, 43а;+77009787000108;+77009787000;yes;info@expertoil.kz;http://www.expertoil.kz;vkontakte:https://vk.com/expertoilalmaty facebook:https://facebook.com/expertoilkz whatsapp:https://wa.me/77009787000;5;195;43.204601;76.866822;70000001019930149_76Efw11578G23H8301IGG0GGtupunk73G6G505A80ABA3325wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A101333AH5J4HHHGJ2GB25254
автосервис;Grand Auto Motors, сервисный центр;Легковой автосервис, Ремонт ходовой части автомобиля, Кузовной ремонт, Ремонт электронных систем авто, Ремонт АКПП, Ремонт МКПП, Ремонт бензиновых двигателей, Ремонт рулевых реек, Детейлинг, Автомойки, Компьютерная диагностика автомобилей, Запчасти для легковых автомобилей, Замена масла, Эвакуатор, Ремонт стартеров и генераторов, Развал-схождение, Обслуживание автомобильных климатических систем, Ремонт подушек безопасности;улица Майлина, 79/2;+77710719214;+77710719214;yes;;http://grandautomotors.com;instagram:https://instagram.com/grandautomotors.kz whatsapp:https://wa.me/77710719214;4.9;46;43.334988;76.979067;70000001113062332_76Efw11578G23H8301IGG0GGtupunk73G6G505A80A516544wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A1013433H6J4HHHGJ2GB2527A
автосервис;Toyota City Almaty, автоцентр;Легковой автосервис, Продажа легковых автомобилей, Ремонт бензиновых двигателей, Ремонт дизельных двигателей, Ремонт АКПП, Ремонт ходовой части автомобиля, Ремонт стартеров и генераторов, Ремонт электронных систем авто, Ремонт дизельной топливной системы, Замена масла, Обслуживание автомобильных климатических систем, Автосигнализации, Развал-схождение, Шиномонтаж, Кузовной ремонт, Переоборудование автомобилей, Компьютерная диагностика автомобилей, Хранение шин;Кульджинский тракт, 120;+77750967734;+77770888085;yes;digital@toyota-city.kz;http://toyota-city.kz;instagram:https://instagram.com/toyota_city_almaty whatsapp:https://wa.me/77770888085;4.9;671;43.31751;77.024657;9429940001476019_76Efw11578G23HA72AIG0GGGtupunk73G6G505A80A68632Awpqt545B4J1A3G7G1J073J2Jl4l4uv7B884AA41233H7H4JAHHG4H92622h
автосервис;PushStart Service, автосервис;Легковой автосервис, Замена масла, Ремонт ходовой части автомобиля, Ремонт бензиновых двигателей, Компьютерная диагностика автомобилей;улица Орджоникидзе, 158/22;+77029062237;+77029062237;;baygutova@list.ru;;instagram:https://instagram.com/autoservice_restart;4.9;168;43.32227;76.964765;70000001035168787_76Efw11578G23H8301IGG0GGtupunk73G6G505A80A726B89wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A1013358H8J4HHHGJ2GB252de
автосервис;Garage auto service, автосервис;Легковой автосервис, Ремонт ходовой части автомобиля, Компьютерная диагностика автомобилей, Шиномонтаж, Обслуживание автомобильных климатических систем, Автостекло, Детейлинг, Замена масла, Ремонт рулевых реек, Развал-схождение, Ремонт электронных систем авто;микрорайон Аксай-1а, 2а;+77016499344 +77711051365 +77017777558;+77016499344;yes;beshirov89@inbox.ru;;whatsapp:https://wa.me/77016499344 whatsapp:https://wa.me/77711051365;5;85;43.238904;76.823989;70000001028863710_76Efw11578G23H8301IGG0GGtupunk73G6G505A80AA96682wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A1013341H9J4HHHGJ2GB25285
автосервис;JinQaz Motors, автосервис;Легковой автосервис, Кузовной ремонт, Ремонт ходовой части автомобиля, Ремонт дизельных двигателей, Ремонт бензиновых двигателей, Компьютерная диагностика автомобилей;улица Бокейханова, 380;+77071258688;+77071258688;;;;;5;14;43.287487;76.902072;70000001110566886_76Efw11578G23H8301IGG0GGtupunk73G6G505A80A266999wpqt545B4J1A3G7G1J9364G5l4l4uv7B884A1013437HAJ4HHHGJ2GB25276
